NO,sample_id,station,date,time,longitude,latitude,depth,layer,watermass,Temperature,Salinity,Chla,Oxygen,pH,NOx,PO4,Si,MLD,BP,sBP,BA,HNA_LNA,richness,shannon,mpd,SESmpd
1,E609_1,E609,20220721,21:13:35,117.851,22.143,3,surface,Plume,29.706,32.469,0.322,6.367,9.039,0.565,0.138,1.008,5,0.682,1.093,624152,1.94,372,4.647,0.735,-0.716
2,E609_2,E609,20220721,21:13:35,117.851,22.143,40,middle,SCS,25.67,34.021,0.421,6.299,9.418,0.763,2.671,3.572,5,0.466,1.264,368782,1.809,552,5.199,0.701,-2.297
3,E609_3,E609,20220721,21:13:35,117.851,22.143,60,bottom,SCS,22.37,34.305,0.163,5.657,9.253,4.199,3.086,6.568,5,0.662,2.402,275627,2.1,620,5.273,0.68,-3.062
4,E607_1,E607,20220722,01:47:10,117.55,22.443,3,surface,Plume,30.468,31.264,0.63,5.391,8.903,0.02,0.425,0.096,5,1.483,3.14,472320,2.433,265,4.093,0.809,1.018
5,E607_2,E607,20220722,01:47:10,117.55,22.443,15,middle,Plume,29.857,31.875,0.593,6.913,8.946,0.02,1.584,1.13,5,3.335,6.856,486400,1.996,278,3.998,0.804,0.994
6,E607_3,E607,20220722,01:47:10,117.55,22.443,30,bottom,SCS,24.927,34.045,0.38,5.974,8.975,0.852,0.256,1.902,5,2.028,4.975,407619,1.306,397,4.936,0.692,-2.255
7,E605_1,E605,20220722,05:18:23,117.303,22.692,3,surface,Plume,31.116,30.352,0.809,6.778,9.252,1.176,0.705,0.89,3,4.102,2.373,1728305,1.536,280,3.921,0.796,0.986
8,E605_2,E605,20220722,05:18:23,117.303,22.692,15,middle,SCS,23.347,34.247,0.961,5.675,9.337,2.385,0.101,6.823,3,0.747,1.164,641829,1.243,559,5.275,0.793,0.589
9,E605_3,E605,20220722,05:18:23,117.303,22.692,35,bottom,SCS,23.251,34.23,0.285,5.743,9.04,2.773,0.364,6.639,3,0.721,1.692,426098,1.976,677,5.305,0.746,-0.876
10,E603_1,E603,20220722,08:14:38,117.101,22.9,3,surface,Mixed,28.965,33.317,0.618,5.13,8.69,0.547,0.907,14.189,4,2.177,1.318,1651200,0.907,409,4.889,0.837,1.842
11,E603_2,E603,20220722,08:14:38,117.101,22.9,15,middle,SCS,22.519,34.318,0.523,5.574,8.866,3.5,0.263,10.717,4,0.148,0.396,373333,1.762,555,5.164,0.721,-1.592
12,E603_3,E603,20220722,08:14:38,117.101,22.9,35,bottom,SCS,22.182,34.31,0.48,5.176,8.928,4.239,0.138,10.045,4,0.161,0.385,417991,1.642,585,5.139,0.705,-2.03
13,E501_1,E501,20220722,16:42:05,116.287,22.753,3,surface,Mixed,26.644,33.437,1.524,6.785,9.142,8.149,0.121,11.693,3,3.933,2.198,1789714,0.959,417,5.071,0.823,1.57
14,E501_2,E501,20220722,16:42:05,116.287,22.753,10,middle,SCS,23.067,34.244,0.837,4.074,9.116,3.393,0.691,15.71,3,0.718,0.959,748800,1.368,457,5.111,0.751,-0.687
