asv_id,kingdom,phylum,class,order,family,genus,species,Taxonomy
ASV2,Bacteria,Actinobacteria,Actinobacteria,,,,Unassigned,Bacteria{superkingdom}(96);Actinobacteria{phylum}(96);Actinobacteria{class}(96);{order}(96);{family}(96);{genus}(96);Unassigned{species}(0)
ASV3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Gammaproteobacteria{class}(100);Alteromonadales{order}(100);Alteromonadaceae{family}(100);Alteromonas{genus}(100);Unassigned{species}(0)
ASV4,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV5,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Bacteria{superkingdom}(100);Unassigned{phylum}(0);Unassigned{class}(0);Unassigned{order}(0);Unassigned{family}(0);Unassigned{genus}(0);Unassigned{species}(0)
ASV7,Bacteria,Actinobacteria,Actinobacteria,Acidimicrobiales,Iamiaceae,,uncultured_marine_microorganism,Bacteria{superkingdom}(89);Actinobacteria{phylum}(89);Actinobacteria{class}(89);Acidimicrobiales{order}(89);Iamiaceae{family}(89);{genus}(89);uncultured_marine_microorganism{species}(89)
ASV8,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV10,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
ASV11,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);Rhodobacterales{order}(100);Rhodobacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0)
ASV12,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter,Unassigned,Bacteria{superkingdom}(99);Proteobacteria{phylum}(99);Gammaproteobacteria{class}(99);Alteromonadales{order}(99);Alteromonadaceae{family}(99);Aestuariibacter{genus}(99);Unassigned{species}(0)
ASV13,Bacteria,Proteobacteria,Alphaproteobacteria,,SAR11,Candidatus_Pelagibacter,Unassigned,Bacteria{superkingdom}(100);Proteobacteria{phylum}(100);Alphaproteobacteria{class}(100);{order}(100);SAR11{family}(100);Candidatus_Pelagibacter{genus}(100);Unassigned{species}(0)
